UserID,User,Comment Tokenize,Label
61,Thanh Trang,bánh_mì nho dừa hoa_cúc bánh phô_mai tươi quên chụo rì viu ghé mua thử bánh_mì phô_mai bơ tỏi rì viu giá rì viu giá mua tiệm nha mua ap giá tí chất_lượng nhen bánh_mì nho dừa hoa_cúc ổ to nha dừa nho 1 3 4 đoá vừa_phải thích bánh ăn_giá mua tiệm 30k 35k thâu bánh phô_mai tươi bánh dở lớp kem phủ từng_lớp lan kèm phô_mai tươi kiểu vị kem ăn_không rỏ ràng giả giả foam_vậy hôm mua bánh cũ kem hơi kì khen lan mềm không khô tủ_lạnh khô lúm chúa ghét lan bánh nha kem không ngon thiệt hộp hôm mua tiệm 25k bánh_mì bơ tỏi phô_mai kiểu bánh mua hơi phân_vân sợ lớp kem bánh phô_mai tươi thề ngon nha không không phô_mai rỏ vị thơm lớp bánh hơi khô xíu ngon hoà_quyện phô_mai ngon coi hình kem rùi he lò nóng xíu ngon nha anh_em giá ổ mua tiệm 40k nhen 1 no ️ tiệm cường cn lắm g search địa_chỉ mua nhen,Positive
62,Thoto136 Trần,tiệm bánh hầu_như khuyến_mãi 20 30 nowfod ap giao đồ 1 bánh tiệm nhận_xét bột bánh mịn mềm thơm 1 cộng nhân bánh toping bánh hơi mùi_vị nhạt 1 điểm_trừ bánh_mì hoa_cúc thớ bánh bánh thơm mùi hoa_cúc bánh mềm hơi nhạt hương_vị không đậm_đà không_kích_thích vị_giác lắm bánh hơi giá giá khuyến_mãi chát chất_lượng,Negative
63,Mimiwazzupp P,4 bánh su kem nhân kem kem tươi bắt bánh kem ko ngon hơi dị bánh tsua tchau kem cốt bánh_chả trà bánh_mì bơ tỏi bánh tiệm giao bánh nóng vị tiệm ko dịch_vụ giao ahamove 2 4 sợ bánh ngon hỏng uy_tín tiệm giám giao bánh nguội kĩ nóng ko ko món giám giao ngang ép ko bảo tiếng ờh ko nóng tệ,Positive
64,Thảo,cao_điểm kẹt xe đường bé đông xe thích ních hơi đầu xe giá_cả tương_đối mềm tương_xứng chất_lượng chất_lượng ghé mua khung ghé mua thường_xuyên bánh mua bánh_mì chà_bông 10k 12k bánh sẵn nhựa mặt tủ vẻ thích dạng bánh_mì mặn kẹp chà_bông sốt dầu bơ bánh đậm_đà thớ bánh dai mềm thú_vị ăn_không nghẹn thơm thơm mè hành phi tương_ớt mặt bánh dạng bánh tiệm acb đức phát bready lovebread tous les jours v thích tiệm rẻ hợp_khẩu_vị đôi_khi tuỳ bánh hơi mặn khuyên mua thử 1 ghé ngang pate chaux nóng giòn ngon bánh kem bắp không đặc_sắc giá mềm phục_vụ tuỳ 1 hơi lớn_tuổi trông hơi cau_có không hồ_hởi bánh tiền mau_lẹ ok không_gian mua không,Positive
65,Ngan Tran,bánh_mì hoa_cúc mềm thơm ko hoa_cúc nha bánh_mì bơ sữa hương_vị giá_cả ok,Positive
66,Trang Hà,đọc cmt delivery now giá now fody gấp đôi cửa_hàng bánh tart trứng 20k cửa_hàng 9k bánh lan trứng muối 2k 1k bánh tương_tự nhận_xét bánh lan trứng muối cốt bánh mềm thơm bề_mặt bánh trứng muối chà_bông sốt bánh 1 phô_mai xúc_xích 1 ngán bánh tart trứng vỏ kiểu giòn xốp bột ngàn lớp nhân mềm thơm hơi sền_sệt,Positive
67,Hồng Ngọc,bánh lan trứng muối bé phòng thử ngon bé mua đặng bánh lan mềm kèm trứng muối chà_bông béo béo mặn mặn ngon xảy hộp 30k rẻ tầm giá hình_như dạo hộp bé hộp bé phòng vị ngon đầu lý_tưởng vặt,Positive
68,Anh Quynh,bánh ngon 4 5 chỗ bánh đậm_đà thơm phô_mai siêu nhiều ngon nhẹ không ngán vỏ giòn chút ngon bánh nóng ship giòn chốt 9 không chê thử nha không uổng tiền chất_lượng bánh mua chỗ giá bánh phô_mai phô_mai hơi ngán ủng_hộ shop dài_dài,Positive
69,Phạm Như Bảo Trân,bánh mềm béo mùi phô_mai giá_cả hợp_lý tiệm bánh hộp đẹp,Positive
70,Meoanuong,bánh phô_mai bơ tỏi ngon hộp đẹp bánh hơi phô_mai mong_đợi,Positive
71,Fish,bánh mufin xốp mềm không gắt thích bánh trứng vỏ giòn nhân béo nghiện,Positive
72,Trương Ryan,bánh cua phô_mai 18k bánh cua chất_lượng bắt_mắt bánh ấn_tượng bánh to thích lớp mịn ưng bánh thơm nhẹ vị tiếc không thơm mùi bơ lắm độ giòn bột không bánh cua bình_thường lắm ưng phô_mai béo mềm mịn tương_đối bánh cua cỡ bánh lan trứng muối hộp 40k 1 đứa kén bánh chỗ sốt cốt bánh khô ngán ngon mong_đợi 1 hộp tầm 1 2 sốt béo không ngấy gắt họng phô_mai jam bong trứng muối vừa_miệng hộp 10k cốt bánh không mềm ẩm mịn xốp không khô,Positive
73,Quỳnh Nguyễn,bánh lan tạm không dở ko hương_vị 3 lan trứng muối lan lá dứa vs lan nho cảm_nhận lan lá dứa ổn lan nho tàm_tạm hai vừa_phải bánh mềm mịn lan trứng muối không ngon quán hơi nhạt_nhẽo không vị giá_cả ổn đóng_gói cẩn_thận vệ_sinh đẹp_mắt,Negative
74,Hai Le,giá_cả ok piza hình_tròn 1 tam_giác cảm_giác đồ thừa,Neutral
75,Rồng Lười,order now bánh_mì chà_bông piza 1 hộp su kem shiper thần_tốc hôm_nay mã giảm_giá tiệm piza ngon giòn hợp_khẩu_vị su kem béo thơm lắm bánh_mì chà_bông hơi khô trời nóng hài_lòng,Positive
76,Quỳnh Như,ord deli ord bakery bánh lựa_chọn ord mua bánh kem fre nến dao 3 4 dĩa muỗng chu_đáo luon bánh kem socola 20k bánh kem ổn nhen socola trang_trí traditional thơm khuôn bánh bakery tùy_decpe có_giá 130k luon khuyến_khích mua mẫu decor bánh kem giá rẻ chất_lượng nhen code 30 kéo_dài ship 15k thui tart trứng 8k kh chụp hình sẵn tiện review béo thơm mùi trứng lớp vỏ giòn_rụm mua bánh kem xong mua đỡ thèm thơm lắm huhu should try try tại_chỗ dạo xe tầm 15p giòn review ráng,Positive
77,Phương Anh Hà,hơi thất_vọng thập_cẩm nhìu trái_cây mền đc dưa_hấu quán nhìu không bánh_tráng bánh_tráng cứng đói bụng vô đau bao_tử,Negative
78,Thắng,bưởi ủng cảm_giác múi bưởi vị múi bưởi thối mít nhớt nhớt kiểu,Negative
79,Hieu Ng,trái_cây ly dằm sữa_chua ngon trái_cây thanh_long bơ đu_đủ dưa_hấu vải nho dâu_tây sương sáo quán sẵn sữa đặc hơi nhạt note quán sữa sữa_chua kèm sữa_chua lothamilk trái_cây tươi ok quán đá bào kèm trái_cây đựng ly không chỗ đá tô tiện chất_lượng giá_cả ok,Negative
80,Phương Nguyễn,dâu nhật mua thử bảo dâu nhật rẻ_vậy nhật ny đùa bảo dâu nhật trồng ai_ngờ mua dâu thăm dâu 2 đứa nghiện_dâu không xuất_xứ dâu ổn dâu không tươi ưng tiệm sợ dập dâu lót giấy cải_thiện dập,Neutral
81,Loan Nguyễn,trái_cây trứơc dâu hư dập nhẹ now tiếp dâu thơm thơm chín_tới ngon lắm dâu tươi bữa truớc hài_lòng,Positive
82,Trâm Hoàng,giao now 2 2 liên_tiếp l hàng ấn_tượng hộp trái_cây tươi khủng_khiếp hộp hộp thập_cẩm giá gốc 79k mua dịp khuyến_mãi giá 395 k mã giảm_giá cộng tiền ship 34k mong_đợi hôm 1 ấn_tượng tốt hôm ổi vẻ ko giòn hôm mềm cam hư nhẹ tươi ngon mong quán để_ý,Positive
83,Nkím Nũng,đầungon lắm trái_cây mùa quán ok,Positive
84,Emily0808,toàn mua code giảm_giá quán toàn hộp chất_lượng đóng_gói đẹp vệ_sinh,Positive
85,Huyền Ngọc,trái_cây dầm quán ngon giá hợp_lý ủng_hộ,Positive
86,Emy Nguyen,code mua sắn 10k trình_bày đẹp sắn muối tôm ngon,Positive
87,Ngân Nguyễn,thơm dưa_gang thui món trái_cây tươi ngon số_lượng toàn mua giảm_giá thơm 1 hộp 14k lắm trái chợ mua 1 trái 20k không đc to lắm dưa_gang thích tuỳ km khoản 16 19k 1 ly kèm sữa_chua ly mua chỗ rùi chỗ dưa_gang dẻo hình chụp hình đầu mua fruit crush 2 chỗ mua giá tương_tự hộp sữa_chua ko xìu àh ko,Positive
88,Storm Trần,1 keu quán mix bưởi da xanh dâu mỹ quán báo_giá hộp 79k 5 dâu mỹ to 3 bưởi da xanh giá hợp_lý dâu tươi xanh nen tí vị chua de mai bưởi to ngon_ngọt like quán,Positive
89,Xu Trân,order 1 mận 1 ổi mận tạm ruột thâm ko dc mát miệng ổi thất_vọng chát cứng ổi nữ_hoàng ko dở ổi hột cắt trái_cây xấu trình_bày ko trái_cây xe đẩy dạo may giảm_giá,Negative
90,Phạm Diễm,hnay order thử 1 trái_cây thập_cẩm 1 ly trái_cây dầm yogurt ly trái_cây dầm yogurt k yogurt ship kèm bịch đá không hà hộp trái_cây thập_cẩm đc 7 xoài chua tạm ổn k quán đông quên k tâm chút giảm_giá xong nguyên_liệu,Neutral
91,Thu Huong Nguyen Thi,2 hộp xoài tứ_quý chiều khổ chua k nổi 1 hộp dưa_hấu dập k hình_như quán đợt đợt ngon đợt dở thậm_tệ tiền k thất_vọng mua 2 hộp xoài tứ_quý 1 hộp trái_cây thập_cẩm 1 hộp dưa_hấu xoài dưa bỏ_qua hộp trái_cây thập_cẩm tạm ổn k ngon,Neutral
92,Tang Linh,3 họp xoài tứ_quý giao toàn xoài non chín héo xoài chua mềm trái_cây dầm_ok,Neutral
93,Nho Xuxi,3 shop ko minh thaya vọng hàng tâm thương bầu bì 1 ko shop lâng ưng cưng ủng_hộ sh dai,Positive
94,Minhhai Nguyen,chery tươi thơm,Positive
95,Kim Nguyễn,trái_cây ngon sạch ná thở,Positive
96,Thuong Pham,sinh to ngon,Positive
97,Nho Xuxi,update chủ quán thg điện giải_thích bù tiền update rating shop cám_ơn lăng phàn_nàn thành fan lun thái_độ iu chủ 1 việt_quất combo kiwi táo nho trái_cây tươi kiwi gion 2 phúc bồn tử ghi_chú đá bầu ko lạnh đá ful nắp order kiwi ko giòn đợt đầu mềm mềm hoang_mang bữa trc gap co tâm,Positive
98,Trâm Nguyễn,quán 12am sát ngon,Positive
99,Minh Nguyen,trái_cây tươi code rẻ,Neutral
100,Thảo Bùi,al ngon sạch_sẽ xoài chua hi_vọng e order đc xoài chín tí đỡ chua,Positive
101,Nguyen Phat,code 6 order thử cảm_nhận trái_cây tươi sạch order 5 89k 3 ko,Neutral
102,Lê Phong,hợp rẻ hihi kiwi tươi nho cứng ngon lắm nhá,Positive
103,Lê Phong,quán e trái_cây,Neutral
104,Nhung Lâm,món thơm ướp_lạnh lắc muối ớt best luôn nha chủ shop ơi 5p rùi hix hix,Positive
105,Trần Hiếu,chủ quán dễ_thương ghê order 2 1 xoài 1 thơm xoài chín complaint hoàn tiền hôm_nay order 1 thập_cẩm tặng lun thập_cẩm da thanh_toán tiền airpay shiper tiền thập_cẩm ưng quán cty ủng_hộ lâu_dài,Positive
106,Huỳnh Minh Tâm,quán trái_cây hồi cam táo mỹ chôm_chôm quán up trái_cây thập_cẩm like đặt_hàng tối trái_cây tươi muôi ớt ngon hôm trươc vs muối ớt tây ninh trái_cây quán god,Positive
107,Bảo Ngọc,trái_cây chất_lượng giá_cả rẻ dâu vs nho dầm dầm ngon nho vs dâu chua chua_ngọt vô ghiền liền đầu mua thử ưng lắm hehe,Positive
108,Emy,trái_cây tươi hộp trái_cây ủng_hộ quán lâu_dài,Positive
109,Nguyen Thinh,code 40 order 3 hộp trái_cây trái_cây quán tươi hơi chín góp_ý quán không trái_cây chín hộp ủng_hộ quán tiếp,Positive
110,Jellkz,thất_vọng không tả nổi như_vầy 79k toàn trái_cây rẻ_tiền sơri sắn ổi xoài xoài chín dập nát sori dập ổi mềm_nhũn mận ko tí shop thua trái_cây rong trái_cây tươi không mua,Negative
111,Storm Trần,chất_lượng,Neutral
112,Huỳnh Minh Tâm,cóc non sạch_sẽ mắm ruốc ngon dâu to,Positive
113,Lee Sammy,thik quán viẹt quất uống hoài k ngán me cay_cực ngon,Positive
114,Bảo Mi Nguyễn,nửa ly dâu nho dầm hộp trái_cây giấy note shop dễ_thương cám_ơn shop lắm,Neutral
115,Bảo Mi Nguyễn,trái_cây tươi ngon yogurt đá trái_cây dừa khuyến_mãi ship 1 ná thở,Positive
116,Lee Canh,hộp rẽ lắm chạy deal 40 shop,Neutral
117,Trần Anh Thư,trái_cây sạch_sẽ yogurt đá k loãng giao k ảnh_hưởng chất_lượng tô nhãn vs dâu nho đếm 3 trái to nhãn tầm 67 trái mít giòn dừa vửa miệng 1 like,Negative
118,NgọC Hương,hộp kh táo nho mỹ thực_đơn rõ_ràng,Neutral
119,Storm Trần,me cay bắt_mắt vẻ ngon mua thử 1 me cay cay_chua chua_ngọt ngot 2 bọc 15p hình_thức ok sạch bọc đẹp me vẻ ngon ớt vệ_sinh cảm_nhận,Positive
120,Nguyên Thanh Nam,tô trái_cây thập_cẩm siro không cơm trưa no hông đói h j tưởng ăn_chơi vui tí mì công_ty nốc tô nghỉ,Negative
121,Tran Lylu,đầu thử quán crush cảm_nhận mít giòn nuoc bi đao hạt chia ngon phúc bồn tử ngon,Positive
122,Lê Phong,phúc bồn tử đá xay ngon ghê sữa vị chua chua tắc hoà va phúc bồn_tử bé khen ngon,Positive
123,Nguyễn Thu Hương,thèm trái_cây thích order order chất_lượng ổn trái_cây tươi ngon order yaourt trái_cây thử hộp trái_cây thập_cẩm to trừ cơm hộp hình dua hấu xoài sắn ổi mận thơm ok ủng_hộ cửa_hàng,Positive
124,Storm Trần,ly trái_cây tươi yogurt dâu nho đen xoài táo mỹ thanh_long kem hộp yogurt quán cơm dừa ly ngon cơm dừa rẻ k mắc dòn dòn sật sật miệng,Positive
125,Tú Vi,mua hộp thập_cẩm chiều hộp táo ấn_tượng k tốt lắm dưa_hấu dập thơm k ok táo chery héo buồn thất_vọng đọc comen mn bảo ok hôm_nay k may,Positive
126,Huỳnh Minh Tâm,tưởng ngở to 2 hộp cơm mãi k quán cộng trái_cây tươi sạch,Positive
127,Luu Linh,tươi 2 chị_em hộp,Neutral
128,Nguyên Thanh Nam,cơm cháy ngon hộp trái_cây thập_cẩm dưa_hấu mận thơm xoài ổi trái tươi,Positive
129,Lee Sammy,sam tầm tiền đuoc mít to không hột ngon k mắc 29k,Negative
130,Luu Linh,quán ly phúc bồn tử y chang quán 2 nguyễn chí giá k mặt bàng q1 q10 trà đào dầm đá xay quán,Neutral
131,Nguyễn Jacky,trái_cây chỗ tươi k tươi quán trái_cây tươi 1 hộp thập_cẩm 47 ngìn chất_lượng ổn 2 thích quán trình_bày 1 tổng_cộng 3,Positive
132,Emily0808,hôm_nay test thử quán 5 ly việt_quất đá xay ngon sữa tí nha quán béo công_ty sợ mập hộp trái_cây thập_cẩm hôm_nay thanh_long trắng mai ủng_hộ quán hộp thanh_long,Positive
133,Ngô Tú,ủng_hộ quán 2 xoài ngon_ngọt giòn giòn 8 diem,Positive
134,Nguyễn Thu Hương,đồ chất_lượng ổn 10 hộp giao hơi trễ đon quán không kịp công_ty đăt giãn 2 tiền shop,Neutral
135,Storm Trần,trái_cây sạch dâu tươi to mít shop quên bịch muối tây ninh,Negative
